,Host Country,Year,Region,Athlete,Sport,Medals,predict
0,JPN,2020,Oman,4,2,0,1
1,JPN,2020,Albania,6,3,0,1
2,JPN,2020,Algeria,64,13,2,3
3,JPN,2020,Andorra,4,4,0,0
4,JPN,2020,Angola,26,7,0,0
5,JPN,2020,Antigua,8,2,0,1
6,JPN,2020,Argentina,215,26,22,29
7,JPN,2020,Armenia,31,8,4,3
8,JPN,2020,Aruba,7,4,0,0
9,JPN,2020,Czech Republic,104,20,15,8
10,JPN,2020,Australia,420,31,82,110
11,JPN,2020,Azerbaijan,56,15,18,14
12,JPN,2020,Bahamas,29,3,6,7
13,JPN,2020,Bahrain,33,4,2,3
14,JPN,2020,Bangladesh,7,5,0,1
15,JPN,2020,Barbados,11,5,0,0
16,JPN,2020,Belarus,120,22,12,13
17,JPN,2020,Belgium,104,19,21,10
18,JPN,2020,Belize,3,2,0,1
19,JPN,2020,Benin,6,4,0,1
20,JPN,2020,Bermuda,8,5,0,0
21,JPN,2020,Austria,71,23,2,5
22,JPN,2020,Afghanistan,3,2,0,1
23,JPN,2020,Slovenia,63,12,4,7
24,JPN,2020,Bhutan,2,2,0,1
25,JPN,2020,Boliva,12,5,0,1
26,JPN,2020,Brunei,3,2,0,1
27,JPN,2020,Bulgaria,51,14,7,7
28,JPN,2020,Burkina Faso,5,3,0,1
29,JPN,2020,Burundi,9,3,1,1
30,JPN,2020,Cambodia,6,4,0,1
31,JPN,2020,Cameroon,22,6,0,5
32,JPN,2020,Canada,310,31,69,41
33,JPN,2020,Cape Verde,5,4,0,0
34,JPN,2020,Cayman Islands,5,3,0,1
35,JPN,2020,Central African Republic,6,4,0,0
36,JPN,2020,Democratic Republic of the Congo,4,3,0,0
37,JPN,2020,Chad,2,1,0,0
38,JPN,2020,China,427,32,113,117
39,JPN,2020,Colombia,143,21,8,10
40,JPN,2020,Comoros,4,2,0,0
41,JPN,2020,Cook Islands,9,5,0,0
42,JPN,2020,Costa Rica,11,6,0,1
43,JPN,2020,Croatia,85,18,24,24
44,JPN,2020,Cuba,117,19,11,24
45,JPN,2020,Cyprus,15,6,0,1
46,JPN,2020,Botswana,12,3,0,1
47,JPN,2020,Bosnia and Herzegovina,11,5,0,0
48,JPN,2020,Chile,42,16,0,4
49,JPN,2020,Brazil,462,34,50,127
